Node:
0,Node 0
1,Node 1
2,Node 2
3,Node 3
4,Node 4
5,Node 5
6,Node 6
7,Node 7
8,Node 8
9,Node 9
10,Node 10
11,Node 11
12,Node 12
13,Node 13
14,Node 14
15,Node 15
16,Node 16
17,Node 17
18,Node 18
19,Node 19
20,Node 20
21,Node 21
22,Node 22
23,Node 23
24,Node 24
25,Node 25
26,Node 26
27,Node 27
28,Node 28
29,Node 29
30,Node 30
31,Node 31
32,Node 32
33,Node 33
34,Node 34
35,Node 35
36,Node 36
37,Node 37
38,Node 38
39,Node 39
40,Node 40
41,Node 41
42,Node 42
43,Node 43
44,Node 44
45,Node 45
46,Node 46
47,Node 47
48,Node 48
49,Node 49
50,Node 50
51,Node 51
Edge:
0,1,0,0
1,1,2,0
2,1,3,0
3,1,4,0
4,1,5,0
5,1,8,0
6,1,25,0
7,1,26,0
8,2,0,0
9,3,2,0
10,3,0,0
11,4,3,0
12,4,0,0
13,4,2,0
14,5,6,0
15,6,2,0
16,6,7,0
17,7,0,0
18,7,30,0
19,8,9,0
20,9,11,0
21,9,44,0
22,10,9,0
23,10,6,0
24,10,13,0
25,10,22,0
26,10,28,0
27,11,12,0
28,12,5,0
29,13,11,0
30,13,9,0
31,14,7,0
32,14,15,0
33,15,16,0
34,15,31,0
35,16,6,0
36,17,5,0
37,17,18,0
38,18,14,0
39,18,15,0
40,18,40,0
41,18,31,0
42,19,7,0
43,19,6,0
44,19,48,0
45,20,5,0
46,20,21,0
47,20,23,0
48,20,49,0
49,21,8,0
50,22,21,0
51,22,34,0
52,22,51,0
53,23,24,0
54,24,11,0
55,25,21,0
56,26,27,0
57,26,42,0
58,27,28,0
59,27,10,0
60,28,37,0
61,29,4,0
62,30,29,0
63,31,19,0
64,32,17,0
65,33,32,0
66,33,35,0
67,34,33,0
68,35,36,0
69,36,4,0
70,37,20,0
71,38,7,0
72,38,43,0
73,39,38,0
74,40,39,0
75,41,28,0
76,42,41,0
77,43,0,0
78,43,20,0
79,44,45,0
80,45,46,0
81,46,2,0
82,47,29,0
83,48,47,0
84,49,21,0
85,50,21,0
86,51,50,0
