Node:
0,Node 0
1,Node 1
2,Node 2
3,Node 3
4,Node 4
5,Node 5
6,Node 6
7,Node 7
8,Node 8
9,Node 9
10,Node 10
11,Node 11
12,Node 12
13,Node 13
14,Node 14
15,Node 15
16,Node 16
17,Node 17
18,Node 18
19,Node 19
20,Node 20

Edge:
0,0,6,13
1,0,2,14
2,0,1,13
3,0,3,12
4,0,4,12
5,0,9,19
6,0,12,13
7,1,4,10
8,2,14,11
9,2,8,11
10,2,13,17
11,2,8,12
12,2,14,19
13,2,18,16
14,3,5,18
15,3,16,16
16,3,7,17
17,3,6,19
18,4,8,15
19,4,16,11
20,4,16,15
21,4,17,18
22,4,9,18
23,4,15,11
24,5,12,10
25,5,12,14
26,5,18,13
27,5,19,14
28,6,7,15
29,6,10,12
30,6,14,16
31,6,18,19
32,7,10,17
33,7,11,17
34,7,15,10
35,8,9,19
36,8,12,11
37,8,14,12
38,9,11,15
39,9,10,11
40,10,17,18
41,10,18,14
42,11,20,16
43,11,13,10
44,12,13,15
45,12,17,10
46,12,16,10
47,13,15,12
48,14,16,14
49,14,15,16
50,14,18,16
51,15,19,16
52,15,16,16
53,16,20,16
54,17,18,11
55,18,20,19
56,19,20,12
