Node:
0,Node 0
1,Node 1
2,Node 2
3,Node 3
4,Node 4
5,Node 5
6,Node 6
7,Node 7
8,Node 8
9,Node 9
10,Node 10
11,Node 11
12,Node 12
13,Node 13
14,Node 14
15,Node 15
16,Node 16
17,Node 17
18,Node 18
19,Node 19
20,Node 20
21,Node 21
22,Node 22
23,Node 23
24,Node 24
25,Node 25
26,Node 26
27,Node 27
28,Node 28
29,Node 29
30,Node 30
31,Node 31
32,Node 32
33,Node 33
34,Node 34
35,Node 35
36,Node 36
37,Node 37
38,Node 38
39,Node 39
40,Node 40
41,Node 41
Edge:
0,1,0,0
1,1,2,0
2,1,3,0
3,1,4,0
4,1,19,0
5,1,30,0
6,1,37,0
7,2,0,0
8,3,2,0
9,3,0,0
10,4,3,0
11,4,0,0
12,4,2,0
13,5,2,0
14,6,5,0
15,6,0,0
16,6,7,0
17,6,41,0
18,7,5,0
19,7,0,0
20,8,5,0
21,8,9,0
22,9,10,0
23,10,2,0
24,10,12,0
25,10,34,0
26,11,5,0
27,11,13,0
28,11,25,0
29,12,11,0
30,13,2,0
31,13,20,0
32,14,5,0
33,14,17,0
34,15,14,0
35,16,15,0
36,16,8,0
37,16,40,0
38,17,6,0
39,18,17,0
40,18,2,0
41,19,8,0
42,19,24,0
43,20,21,0
44,21,22,0
45,22,18,0
46,23,20,0
47,24,23,0
48,24,16,0
49,25,20,0
50,26,17,0
51,27,26,0
52,28,27,0
53,28,6,0
54,29,5,0
55,30,29,0
56,30,31,0
57,31,26,0
58,31,28,0
59,32,21,0
60,33,32,0
61,33,36,0
62,34,33,0
63,35,17,0
64,36,35,0
65,37,13,0
66,38,15,0
67,39,38,0
68,40,39,0
69,41,7,0
